Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Pins,Height,PN,MF,MAXIMUM_PACKAGE_HEIGHT,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Purchase-URL,Description_1,Availability,MANUFACTURER
"C1, C2, C4",3,10n,C_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
"C10, C13, C3, C5, C6, C7, C8, C9",8,100n,C_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
"C11, C28, C31",3,100p,C_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
C12,1,27p,C_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
"C14, C15, C30",3,1u,C_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
C16,1,10p,C_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
C19,1,100n,C_0805_2012Metric,,,Yes,smt,,,,,,,,,,,,,,,,
D1-PWR,1,LED,LED_0805_2012Metric,,,,smt,Light emitting diode,1=K 2=A,,,,,,,,,,,,,,
"FL1, FL2",2,LFCN-490,Filter_Mini-Circuits_FV1206,,,,smt,"490MHz 50 Ohm Passive Low Pass Filter, FV1206",,,,,,,,,,,,,,,
IC1,1,SX1255,QFN50P500X500X80-33N-D,,SX1255IWLTRT,,smt,,,0.8,947-SX1255IWLTRT,,,,,,,,,,,,
J1,1,TX_SMA,SMA_Amphenol_901-144_Vertical,,,,tht,,,,,,,,,,,,,,,,
J2,1,RX_SMA,SMA_Amphenol_901-144_Vertical,,,,tht,,,,,,,,,,,,,,,,
L1,1,82n,L_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
L2,1,39n,L_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
L4,1,68nH,L_0805_2012Metric,,,,smt,Inductor,,,,,,,,,,,,,,,
"R1, R2, R3, R4, R5, R6, R7",7,100R,R_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
R11,1,10K,R_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
R12,1,0R,R_0805_2012Metric,,,Yes,smt,,,,,,,,,,,,,,,,
R13,1,8K2,R_0805_2012Metric,,,Yes,smt,opt.,,,,,,,,,,,,,,,
R14,1,15K,R_0805_2012Metric,,,Yes,smt,opt.,,,,,,,,,,,,,,,
R8,1,470R,R_0805_2012Metric,,,,smt,,,,,,,,,,,,,,,,
RV1,1,5K,Potentiometer_Bourns_3224W_Vertical,,,Yes,smt,Trim-potentiometer,,,,,,,,,,,,,,,
TP1,1,+5V,TestPoint_Pad_D1.0mm,,,,tht,test point,,,,,,,,,,,,,,,
TP2,1,+3V3,TestPoint_Pad_D1.0mm,,,,tht,test point,,,,,,,,,,,,,,,
TP3,1,OCS,TestPoint_Pad_D1.0mm,,,,tht,test point,,,,,,,,,,,,,,,
TP4,1,Vcont.,TestPoint_Pad_D1.0mm,,,,tht,test point,,,,,,,,,,,,,,,
U1,1,MCP1703Ax-330xxMB,SOT-89-3,,,,smt,"Low Quiescent Current LDO Regulator, 3.3V, 250mA, Vin<=16V, SOT-89",,,,,,,,,,,,,,,
U3,1,TQP3M9036,SON50P200X200X95-9N,DFN-8 Qorvo,,,smt,,,,,Qorvo,0.95mm,None,https://www.snapeda.com/parts/TQP3M9036/Qorvo/view-part/?ref=eda,IPC-7351B,N/A,https://www.snapeda.com/parts/TQP3M9036/Qorvo/view-part/?ref=snap,TQP3M9036,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=1240987&manufacturer=Qorvo&part_name=TQP3M9036&search_term=None,RF Amp Chip Single GP 2GHz 5.25V 8-Pin DFN EP T/R,In Stock,Qorvo
Y1,1,36.864MHz / 38.40MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,smt,Clipped SW 0.5~1.5ppm,,,,,,,,,,,,,,,
