pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
140.45,-101.25,0.0,top,C1,,,C_0805_2012Metric,10n,smt
140.45,-91.5,0.0,top,C10,,,C_0805_2012Metric,100n,smt
139.25,-107.5,0.0,top,C11,,,C_0805_2012Metric,100p,smt
129.0,-109.35,-90.0,top,C12,,,C_0805_2012Metric,27p,smt
125.75,-109.45,-90.0,top,C13,,,C_0805_2012Metric,100n,smt
110.8,-81.75,0.0,top,C14,,,C_0805_2012Metric,1u,smt
110.75,-91.5,0.0,top,C15,,,C_0805_2012Metric,1u,smt
144.25,-86.5675,90.0,top,C16,,,C_0805_2012Metric,10p,smt
161.5,-82.25,0.0,top,C19,,,C_0805_2012Metric,100n,smt
129.25,-86.8,90.0,top,C2,,,C_0805_2012Metric,10n,smt
149.25,-106.5,90.0,top,C28,,,C_0805_2012Metric,100p,smt
155.0,-86.65,90.0,top,C3,,,C_0805_2012Metric,100n,smt
148.25,-115.0,0.0,top,C30,,,C_0805_2012Metric,1u,smt
148.25,-113.0,180.0,top,C31,,,C_0805_2012Metric,100p,smt
132.75,-109.45,-90.0,top,C4,,,C_0805_2012Metric,10n,smt
140.45,-98.0,0.0,top,C5,,,C_0805_2012Metric,100n,smt
126.0,-86.8,90.0,top,C6,,,C_0805_2012Metric,100n,smt
140.5,-103.75,0.0,top,C7,,,C_0805_2012Metric,100n,smt
135.0,-109.45,-90.0,top,C8,,,C_0805_2012Metric,100n,smt
140.45,-94.75,0.0,top,C9,,,C_0805_2012Metric,100n,smt
105.75,-92.75,90.0,top,D1-PWR,,,LED_0805_2012Metric,LED,smt
153.0,-105.6775,0.0,top,FL1,,,Filter_Mini-Circuits_FV1206,LFCN-490,smt
115.25,-105.6775,0.0,top,FL2,,,Filter_Mini-Circuits_FV1206,LFCN-490,smt
132.256,-98.482,180.0,top,IC1,SX1255IWLTRT,,QFN50P500X500X80-33N-D,SX1255,smt
159.71,-105.71,0.0,top,J1,,,SMA_Amphenol_901-144_Vertical,TX_SMA,tht
106.21,-105.79,0.0,top,J2,,,SMA_Amphenol_901-144_Vertical,RX_SMA,tht
108.37,-74.77,-90.0,bottom,J3,-,,PinSocket_2x20_P2.54mm_Vertical,RPi,tht
128.5,-104.75,-90.0,top,L1,,,L_0805_2012Metric,82n,smt
123.5,-105.75,0.0,top,L2,,,L_0805_2012Metric,39n,smt
149.25,-110.25,90.0,top,L4,,,L_0805_2012Metric,68nH,smt
139.0,-86.6875,90.0,top,R1,,,R_0805_2012Metric,100R,smt
146.5,-86.5875,90.0,top,R11,,,R_0805_2012Metric,10K,smt
161.5,-79.75,0.0,top,R12,,,R_0805_2012Metric,0R,smt
161.75,-92.5,90.0,top,R13,,,R_0805_2012Metric,8K2,smt
158.25,-91.75,180.0,top,R14,,,R_0805_2012Metric,15K,smt
135.75,-86.7625,90.0,top,R2,,,R_0805_2012Metric,100R,smt
132.5,-86.7625,90.0,top,R3,,,R_0805_2012Metric,100R,smt
123.4875,-101.5,0.0,top,R4,,,R_0805_2012Metric,100R,smt
123.4875,-98.25,0.0,top,R5,,,R_0805_2012Metric,100R,smt
123.4875,-95.0,0.0,top,R6,,,R_0805_2012Metric,100R,smt
123.4125,-91.75,0.0,top,R7,,,R_0805_2012Metric,100R,smt
105.75,-89.0,-90.0,top,R8,,,R_0805_2012Metric,470R,smt
160.5,-87.45,180.0,top,RV1,,,Potentiometer_Bourns_3224W_Vertical,5K,smt
111.75,-86.5,0.0,top,U1,,,SOT-89-3,MCP1703Ax-330xxMB,smt
144.5,-107.64,0.0,top,U3,,DFN-8 Qorvo,SON50P200X200X95-9N,TQP3M9036,smt
150.9,-86.65,180.0,top,Y1,,,Crystal_SMD_3225-4Pin_3.2x2.5mm,36.864MHz / 38.40MHz,smt
